interaction_id,customer_id,interaction_date,issue_category,resolution_status,resolution_time_hours,sentiment_rating,sentiment_score,numerical_sentiment
06104d2b-0ef5-4b10-8da0-e65a797541d7,b944c245-6ae9-4457-b370-d8212b7193fb,2024-08-30,Feature Request,Resolved,24.376958262827287,Neutral,0.7961448319189821,0.5
bdb59fdb-6b5c-4a4f-aa2e-1afcf4ebefb1,0d9b3f68-80cf-40eb-9b0e-a4550ef4202a,2022-08-15,Technical Problem,Resolved,4.211907551519446,Neutral,0.6965977126102922,0.5
cd33120b-e361-450f-a4b6-b1209d9dd363,0d9b3f68-80cf-40eb-9b0e-a4550ef4202a,2022-10-27,Billing Issue,Resolved,3.212760531840359,Neutral,0.7087287462147842,0.5
5a2f0a39-32ab-444c-b61c-0b8efd0c43b1,9fc7147b-6ba9-4914-b604-e9544004aa7e,2022-04-19,Account Management,Resolved,6.427815369720792,Positive,0.7705960501312913,1.0
c7a25d52-ca88-4978-8423-1d124eda1929,0d768bae-480c-460d-a629-87d4ae7be49c,2024-11-17,Account Management,Resolved,7.4704887402293725,Neutral,0.5153779018619852,0.5
ecd9b176-ca27-4c58-955f-2104b61ca62a,0d768bae-480c-460d-a629-87d4ae7be49c,2024-10-10,Onboarding Help,Resolved,0.5,Positive,0.7619513383771916,1.0
6de58be1-3ab8-4502-b3a5-476357141515,0d768bae-480c-460d-a629-87d4ae7be49c,2023-01-29,Feature Request,Resolved,24.669296657180634,Neutral,0.4345647041825731,0.5
8aabaf98-86b6-4588-9cf6-b6c95d852e40,48048758-b402-4fd8-ae01-ebadeb7e2560,2022-08-23,Billing Issue,Resolved,1.1575156212285291,Neutral,0.7394255524241629,0.5
d7c004af-9f11-401f-a4fe-82888ad298c9,e7a9c2fc-76d1-47db-8f1c-2c7214d151be,2023-09-01,Billing Issue,Pending,,Negative,0.0959767325522925,0.0
4795cbd9-299b-4b01-9d69-d476de00f581,8765f51e-0221-4125-9b02-f495eb5695e4,2024-05-27,Technical Problem,Resolved,9.692851232551003,Positive,0.7960783373657047,1.0
cc5faab4-1b6e-4fcb-96ac-1460d164a4b8,fc4b99a4-54b0-4631-92b6-02db05847b09,2022-11-20,Account Management,Pending,,Neutral,0.24766491644365823,0.5
1c1ca90a-8ed4-42c7-b730-6c7fe3240593,fc4b99a4-54b0-4631-92b6-02db05847b09,2022-08-08,Feature Request,Resolved,25.377397611990734,Neutral,0.583077502760002,0.5
c2d09991-dd8a-4d29-9e4b-e5f5e1e15948,440f04c3-1571-42a8-9d8e-98acbfd053ee,2023-12-13,Billing Issue,Resolved,0.5,Positive,0.835305629624402,1.0
690d3d28-3026-4071-8841-04f0da5a26c0,440f04c3-1571-42a8-9d8e-98acbfd053ee,2024-01-09,Feature Request,Resolved,25.84342752714342,Positive,0.5311520345094393,1.0
5757c4f4-33d8-4d42-850b-cacfc30e804a,440f04c3-1571-42a8-9d8e-98acbfd053ee,2022-06-17,Account Management,Resolved,2.104370630153364,Positive,0.8964379770966138,1.0
9c4d661c-5ca7-4db2-ab99-56c8f7122694,440f04c3-1571-42a8-9d8e-98acbfd053ee,2024-01-17,Feature Request,Resolved,25.285576780835022,Neutral,0.7613518243409659,0.5
ff173c53-bf3c-4a98-bda9-dfbcd574b756,440f04c3-1571-42a8-9d8e-98acbfd053ee,2022-01-17,Feature Request,Resolved,22.5686041882646,Positive,0.7391009883937478,1.0
218221b2-e6d0-4369-9a69-a30146787ef8,ccdf5ded-d723-4728-9aa5-247903f23cbd,2023-01-18,Onboarding Help,Resolved,3.082123577188836,Neutral,0.7773132132999503,0.5
94196461-7250-4368-a72a-550921519176,e766c2fe-d845-481a-a100-6321bae2af58,2022-07-12,Technical Problem,Resolved,5.474048308678351,Negative,0.46490638607770185,0.0
436eb95d-4123-4e10-b51a-4beb65feee38,e766c2fe-d845-481a-a100-6321bae2af58,2023-02-14,Feature Request,Resolved,27.435976750322283,Negative,0.6998366484065135,0.0
6e704c67-8669-4d3b-a2eb-44114b67b7c5,e766c2fe-d845-481a-a100-6321bae2af58,2022-03-06,Account Management,Resolved,6.232885260669567,Neutral,0.6508641719747883,0.5
7febd31a-6219-4ff8-811d-be603992b8e8,95422bcb-f491-4e0e-8939-8c84dc695cf6,2024-11-06,Feature Request,Resolved,20.904801027497896,Neutral,0.727133070940753,0.5
b9661347-f63b-46cd-bbd5-0ff8a3303138,98f824e5-f468-4ff9-906b-766e2179bfec,2022-09-17,Account Management,Resolved,1.7796359465643157,Positive,0.8467794206641822,1.0
