subscription_id,customer_id,plan_name,billing_frequency,monthly_price,seats,start_date,end_date,subscription_type,churn_reason,add_ons,customer_initial_plan
0e0910b5-7a59-4dad-bb16-e22ffa200625,ca043969-d91f-493e-bbce-c8f9607a4d08,Professional,annual,41.65,1,2023-11-07,2024-12-31,initial,,[],Professional
9b98203e-56bb-4af2-8c38-58e28264395e,ca043969-d91f-493e-bbce-c8f9607a4d08,Professional,annual,105.39999999999999,6,2024-04-11,2024-12-31,seat_expansion,,[],Professional
76e585ec-e517-4833-9ad1-5fb796133a90,ca043969-d91f-493e-bbce-c8f9607a4d08,Professional,annual,118.14999999999999,7,2024-09-27,2024-12-31,seat_expansion,,[],Professional
5ad08411-a825-415c-87b8-a9137c7218cd,448134a2-aaa0-4a18-bab9-eef2e1022792,Starter,monthly,29.0,1,2023-02-22,2023-08-31,initial,No longer needed,[],Starter
f1cc3ba6-b0a2-4dd2-80ae-99749b43e711,9e845a42-4089-4785-a742-efac100aa0f6,Professional,monthly,49.0,1,2023-03-03,2024-12-31,initial,Poor onboarding,[],Professional
98622791-3851-4471-a062-16d4bae260b5,9e845a42-4089-4785-a742-efac100aa0f6,Business,monthly,99.0,1,2023-08-11,2024-12-31,plan_upgrade,Poor onboarding,[],Professional
23ad1476-fc68-4d73-aca3-c5dfffe7959c,9e845a42-4089-4785-a742-efac100aa0f6,Business,monthly,224.0,6,2024-03-11,2024-12-31,seat_expansion,Poor onboarding,[],Professional
6b4debb6-d17c-4d03-91ce-11ae24de6918,9e845a42-4089-4785-a742-efac100aa0f6,Business,monthly,274.0,8,2024-08-24,2024-12-31,seat_expansion,Poor onboarding,[],Professional
46a95818-4f08-4a6d-8ec1-35ab123bfa08,9e845a42-4089-4785-a742-efac100aa0f6,Business,monthly,399.0,13,2024-10-27,2024-12-31,seat_expansion,Poor onboarding,[],Professional
e7a6785d-bfcf-4ed7-8b6e-9244d26b0e3c,e6e7c389-b7a4-4c40-93df-870ef0ccfa76,Starter,monthly,29.0,1,2022-08-06,2024-01-31,initial,Feature gaps,[],Starter
6eda2417-e0bf-402c-9898-ae3ff330ad52,1ef1ed66-7dea-4a03-a6a5-e8f3a4d118a3,Professional,annual,41.65,1,2022-01-14,2023-07-31,initial,Poor onboarding,[],Professional
cc28dadb-acd5-49ab-80ec-8d6b369bc163,1ef1ed66-7dea-4a03-a6a5-e8f3a4d118a3,Professional,annual,92.64999999999999,5,2022-10-23,2023-07-31,seat_expansion,Poor onboarding,[],Professional
d1e393cc-6ea7-41ab-a4e4-5021f9887b74,1ef1ed66-7dea-4a03-a6a5-e8f3a4d118a3,Professional,annual,156.4,10,2023-06-07,2023-07-31,seat_expansion,Poor onboarding,[],Professional
cf92b32f-a3cf-47e0-999c-7a916dc5f50e,40d53e6c-dd10-4ef1-bb5b-5af10f63604c,Professional,annual,41.65,1,2023-05-02,2024-12-31,initial,,[],Professional
95de41d8-3ec6-4196-a24c-78a453bb0bff,40d53e6c-dd10-4ef1-bb5b-5af10f63604c,Business,annual,79.2,1,2023-10-06,2024-12-31,plan_upgrade,,[],Professional
f00c163c-991e-43b6-99d0-8b5c0d8ec65d,40d53e6c-dd10-4ef1-bb5b-5af10f63604c,Business,annual,159.20000000000002,5,2023-12-22,2024-12-31,seat_expansion,,[],Professional
260126a7-44ad-4cab-8c58-4b056373c779,40d53e6c-dd10-4ef1-bb5b-5af10f63604c,Business,annual,259.2,10,2024-04-23,2024-12-31,seat_expansion,,[],Professional
